name,image,sire,bms,price,sex,hair color,predictions
クリムゾンボタン,/union/6l.jpg,ニューイヤーズデイ,フレンチデピュティ,12000000,メス,鹿毛,31456132.0
アイリスフィールの22,/insel/23-17_IrisFeel22.jpg,ドゥラメンテ,ハービンジャー,40000000,オス,青鹿毛,27807510.0
エルパンドールの22,/insel/23-18_EllePaind_Or22.jpg,ヘニーヒューズ,ネオユニヴァース,20000000,メス,鹿毛,22144016.0
サラスの22,/insel/23-08_Solace22.jpg,ブリックスアンドモルタル,オルフェーヴル,35000000,メス,栗毛,25978728.0
ダブルイーグル,/silk/0007.jpg,ロードカナロア,ウォーエンブレム,80000000,オス,黒鹿毛,55694744.0
ビートマッチの2022,/carrot/22051JB.jpg,エピファネイア,ルーラーシップ,50000000,オス,鹿毛,55147876.0
ダーヌビウスの22,/tokyo/949-hrs_img_prf1.jpg,エピファネイア,キングカメハメハ,50000000,オス,黒鹿毛,49518250.0
